28 LIPCA 1943; Zwierzyniec
PORUCZNIKA HALSZKI; Wola Duchacka
HAMERNIA; Bronowice
HANDLOWE; Nowa Huta
JERZEGO HARASYMOWICZA; Dębniki
HARCERSKA; Łagiewniki
HARCERZY KRAKOWSKICH; Swoszowice
HARNASIÓW; Prądnik Czerwony
EDWARDA HEILA; Wola Duchacka
HEKTARY; Nowa Huta
HELCLÓW; Stare Miasto
HELENY; Prokocim-Bieżanów
HELIGUNDY; Dębniki
WIKTORA HELTMANA; Wola Duchacka
MARIANA HEMARA; Bronowice
HENRYKA BRODATEGO; Grębałów
ZBIGNIEWA HERBERTA; Wola Duchacka
HERBOWA; Swoszowice
GUSTAWA HERLINGA - GRUDZIŃSKIEGO; Podgórze
KAZIMIERZA HERWINA-PIĄTKA; Prądnik Biały
JÓZEFA HERZOGA; Zwierzyniec
HETMAŃSKA; Podgórze
JANA HEWELIUSZA; Podgórze
HIACYNTOWA; Prokocim-Bieżanów
HIPOKRATESA; Bieńczyce
ANTONIEGO HOBORSKIEGO; Swoszowice
BISKUPA FRANCISZKA HODURA; Podgórze
KLEMENTYNY HOFFMANOWEJ; Łagiewniki
VLASTIMILA HOFMANA; Zwierzyniec
TADEUSZA HOLLENDRA; Dębniki
HOŁDU PRUSKIEGO; Mistrzejowice
KAROLA HOMOLACSA; Swoszowice
ALOJZEGO HORAKA; Swoszowice
HENRYKA HOYERA; Prokocim-Bieżanów
HOŻA; Prądnik Biały
HUBALCZYKÓW; Swoszowice
HUCULSKA; Łagiewniki
HUFCOWA; Dębniki
SZCZEPANA HUMBERTA; Stare Miasto
ALEKSANDRA HUMBOLDTA; Dębniki
HUSARSKA; Podgórze
HUTNICZE; Nowa Huta
MICHAŁA HUTNIKA; Nowa Huta
FRANCISZKA HYNKA; Czyżyny
FRANCISZKA HYPTY; Swoszowice
LUDWIKA IDZIKOWSKIEGO; Grzegórzki
IGOŁOMSKA; Nowa Huta
IGRCÓW; Łobzów
IŁOWA; Podgórze
IMBRAMOWSKA; Prądnik Biały
IMIELNA; Prokocim-Bieżanów
ROMANA INGARDENA; Łobzów
INICJATYWY LOKALNEJ; Swoszowice
IRYSOWA; Łagiewniki
KAROLA IRZYKOWSKIEGO; Grębałów
ISEP; Czyżyny
LUDWIKA IWASZKI; Prądnik Czerwony
JAROSŁAWA IWASZKIEWICZA; Swoszowice
IWONICKA; Swoszowice
IZAAKA; Stare Miasto
JABŁONKOWSKA; Bronowice
JABŁONNA; Prądnik Biały
JABŁONOWSKICH; Stare Miasto
ZDZISŁAWA JACHIMECKIEGO; Dębniki
STANISŁAWA JACHOWICZA; Grzegórzki
JADWIGI Z ŁOBZOWA; Bronowice
JADŹWINGÓW; Mistrzejowice
ANNY JAGIELLONKI; Bieńczyce
JAGIELLOŃSKA; Stare Miasto
JAGIELLOŃSKIE; Bieńczyce
JAGIEŁKA; Zwierzyniec
JAGIENKI; Nowa Huta
JAGLANA; Nowa Huta
JAGODOWA; Łagiewniki
ROBERTA JAHODY; Dębniki
JAKUBA; Stare Miasto
WŁADYSŁAWA JAKUBCA; Prokocim-Bieżanów
MACIEJA JAKUBOWSKIEGO; Prokocim-Bieżanów
JAŁOWCOWA; Prądnik Biały
JANA KAZIMIERZA; Grębałów
JANA OLBRACHTA; Grębałów
JANA PAWŁA II Nr.1-31,2-68; Prądnik Czerwony
JANA PAWŁA II Nr.33-43,70-200; Czyżyny
JANA PAWŁA II Nr.45-d.k. 202-d.k.; Bieńczyce
JANA PAWŁA II Nr.45-d.k. 202-d.k.; Nowa Huta
JANASÓWKA; Dębniki
JANA XXIII; Prokocim-Bieżanów
KSIĘDZA KAZIMIERZA JANCARZA; Mistrzejowice
CZESŁAWA JANCZARSKIEGO; Grębałów
KLEMENSA JANICKIEGO; Prądnik Czerwony
TOMASZA JANISZEWSKIEGO; Bieńczyce
JANOSIKA; Prądnik Czerwony
JANOWA WOLA; Podgórze
JANA JANOWSKIEGO; Swoszowice
JANTAROWA; Zwierzyniec
JAR; Swoszowice
STEFANA JARACZA; Prądnik Biały
MARII JAREMY; Prądnik Biały
WŁADYSŁAWA JAROCKIEGO; Swoszowice
JAROSŁAWSKA; Prokocim-Bieżanów
JARZĘBINY; Grębałów
JARZYNOWA; Prądnik Biały
JASEŁKOWA; Grębałów
JASIA I MAŁGOSI; Grębałów
JASIELSKA; Swoszowice
PAWŁA JASIENICY; Dębniki
FELIKSA JASIEŃSKIEGO; Prokocim-Bieżanów
GENERAŁA JAKUBA JASIŃSKIEGO; Prokocim-Bieżanów
STANISŁAWA JASIUKOWICZA; Swoszowice
JASKÓŁCZA; Zwierzyniec
MIKOŁAJA JASKRA; Grębałów
JASKROWA; Grębałów
JASNA; Prądnik Biały
JASNOGÓRSKA; Prądnik Biały
JASTRZĘBIA; Wola Duchacka
JAŚMINOWA; Prądnik Czerwony
JAWOROWA; Dębniki
JAWORSKIEGO; Grzegórzki
JAZOWA; Prądnik Biały
JELENIOGÓRSKA; Łagiewniki
JELENIOWA; Zwierzyniec
KONSTANTEGO JELSKIEGO; Swoszowice
JEMIOŁOWA; Dębniki
JEMIOŁUSZEK; Zwierzyniec
JEROZOLIMSKA; Podgórze
ERAZMA JERZMANOWSKIEGO; Prokocim-Bieżanów
JESIENNA; Prokocim-Bieżanów
JESIONOWA; Bronowice
JESIONOWA; Zwierzyniec
JACKA JEZIERSKIEGO; Nowa Huta
JEZIORANY; Grębałów
JEZIORKO; Nowa Huta
JEZUITÓW; Prądnik Czerwony
JEŹDZIECKA; Swoszowice
JEŻÓW; Podgórze
JEŻYNOWA; Nowa Huta
JĘCZMIENNA; Prądnik Biały
LUDWIKA JĘDRZEJCZYKA; Prokocim-Bieżanów
JODŁOWA; Zwierzyniec
JONTKOWA GÓRKA; Zwierzyniec
JORDANOWSKA; Prądnik Biały
BERKA JOSELEWICZA; Stare Miasto
JÓZEFA; Stare Miasto
JÓZEFIŃSKA; Podgórze
JÓZEFITÓW; Łobzów
JUBILEUSZOWA; Grębałów
JUGOWICKA; Łagiewniki
JUGOWICKA; Swoszowice
JUNACKA; Zwierzyniec
JURAJSKA; Prądnik Biały
JURANDA ZE SPYCHOWA; Dębniki
JERZEGO JUROWICZA; Zwierzyniec
JUSTOWSKA; Bronowice
JUTRZENKA; Czyżyny
JUTRZYŃSKA; Nowa Huta
KACZA; Podgórze
JANA KACZARY; Prądnik Czerwony
KACZEŃCOWA; Bieńczyce
ALOJZEGO KACZMARCZYKA; Prądnik Biały
KACZORÓWKA; Prądnik Biały
KSIĘDZA ZYGMUNTA KACZYŃSKIEGO; Grębałów
KADECKA; Łobzów
JULIUSZA KADENA-BANDROWSKIEGO; Wola Duchacka
WINCENTEGO KADŁUBKA; Swoszowice
KADRÓWKI; Łobzów
KAIMSKA; Prokocim-Bieżanów
FRANCISZKA KAJTY; Prądnik Czerwony
KSIĘDZA WŁADYSŁAWA KAJZERA; Swoszowice
KAKTUSOWA; Dębniki
MACIEJA KALENKIEWICZA; Prądnik Biały
KALINOWA; Wola Duchacka
KALINOWE; Bieńczyce
ŚW. RAFAłA KALINOWSKIEGO; Stare Miasto
KALISKA; Swoszowice
FILIPA KALLIMACHA; Prokocim-Bieżanów
KALWARYJSKA; Podgórze
KALWIŃSKA; Grębałów
JÓZEFA KAŁUŻY; Zwierzyniec
MIECZYSŁAWA KAMBERSKIEGO; Grębałów
KAMEDULSKA; Zwierzyniec
KAMELIOWA; Prokocim-Bieżanów
KAMIENIARSKA; Dębniki
KAMIENIECKA; Dębniki
KAMIENNA Nr nieparzyste i Nr 16; Stare Miasto
KAMIENNA Nr parzyste t.j.2-14; Łobzów
HENRYKA KAMIEŃSKIEGO; Podgórze
HENRYKA KAMIEŃSKIEGO; Wola Duchacka
KAMIONKA; Czyżyny
KANARKOWA; Wola Duchacka
KANONICZA; Stare Miasto
KANONIERÓW; Prądnik Czerwony
TADEUSZA KANTORA; Prądnik Czerwony
KANTOROWICKA; Grębałów
KAPELANKA; Dębniki
MIECZYSŁAWA KAPLICKIEGO; Podgórze
KAPUCYŃSKA; Stare Miasto
KSIĘDZA WOJCIECHA KARABUŁY; Łagiewniki
KARASIÓWKA; Nowa Huta
GENERAŁA JANA KARCZA; Dębniki
MIECZYSŁAWA KARŁOWICZA; Łobzów
KARMELICKA; Stare Miasto
KAROWA; Nowa Huta
KARPACKA; Prokocim-Bieżanów
FRANCISZKA KARPIŃSKIEGO; Wola Duchacka
JANA KASPROWICZA; Grzegórzki
TADEUSZA KASPRZYCKIEGO; Zwierzyniec
STANISŁAWA KASZNICY; Prądnik Biały
KASZTANOWA; Zwierzyniec
KASZTELAŃSKA; Zwierzyniec
KASZUBSKA; Zwierzyniec
KATOWICKA; Bronowice
KAWIORY; Łobzów
KAWOWA; Podgórze
KAZIMIERZA ODNOWICIELA; Prądnik Czerwony
KAZIMIERZA WIELKIEGO; Łobzów
KAZIMIERZOWSKIE; Bieńczyce
KĄCIK; Podgórze
KĄKOLOWA; Nowa Huta
KĄPIELOWA; Swoszowice
KĄT; Grzegórzki
KĄTOWA; Stare Miasto
ANTONIEGO KENARA; Swoszowice
KETLINGA; Dębniki
KĘDZIERZYŃSKA; Łagiewniki
ANTONIEGO KĘPIŃSKIEGO; Swoszowice
KĘPNA; Łagiewniki
KĘPSKA; Nowa Huta
KIELECKA; Grzegórzki
ROMANA KIEŁKOWSKIEGO; Podgórze
JANA KIEPURY; Prokocim-Bieżanów
KAZIMIERZA KIERZKOWSKIEGO; Swoszowice
KIJANKI; Wola Duchacka
KIJOWSKA; Łobzów
JANA KILIŃSKIEGO; Dębniki
WINCENTEGO KIRCHMAJERA; Grębałów
STEFANA KISIELEWSKIEGO; Grębałów
GENERAŁA KIWERSKIEGO; Prądnik Biały
KLASZTORNA Brak zabudowy; Grzegórzki
KLASZTORNA Nr 1-72; Nowa Huta
FRANCISZKA KLEEBERGA; Mistrzejowice
JULIUSZA KLEINERA; Grębałów
KLEMENSA Z RUSZCZY; Grębałów
ZENONA KLEMENSIEWICZA; Prądnik Czerwony
STANISŁAWA KLIMECKIEGO; Podgórze
KLINIEC; Wola Duchacka
KLINY BORKOWSKIE; Swoszowice
KLONOWA; Zwierzyniec
SEBASTIANA KLONOWICA; Wola Duchacka
KLUCZBORSKA; Prądnik Biały
JANA KLUKA; Swoszowice
JACKA KLUSZEWSKIEGO; Prokocim-Bieżanów
PIOTRA KLUZEKA; Prądnik Biały
FRANCISZKA KŁAKA; Prokocim-Bieżanów
KŁODZKA; Prokocim-Bieżanów
KŁOSOWA; Nowa Huta
STANISŁAWA KŁOSOWSKIEGO; Czyżyny
KŁUSZYŃSKA; Swoszowice
KMICICA; Nowa Huta
KMIECA; Łobzów
JÓZEFA LEOPOLDA KMIETOWICZA; Bronowice
KMINKOWA; Podgórze
FRANCISZKA KNIAŹNINA; Mistrzejowice
KOBIERZYŃSKA; Dębniki
JANA KOCHANOWSKIEGO; Stare Miasto
TADEUSZA KOCHMAŃSKIEGO; Dębniki
KOCMYRZOWSKA; Bieńczyce
KOCMYRZOWSKA; Grębałów
KOCMYRZOWSKA; Nowa Huta
KOGUCIA; Zwierzyniec
KOKOSOWA; Swoszowice
KOKOTOWSKA; Prokocim-Bieżanów
KOLARZY; Dębniki
OSKARA KOLBERGA; Stare Miasto
KOLEJARZY; Swoszowice
KOLEJOWA; Podgórze
KOLEJOWE; Podgórze
KOLETEK; Stare Miasto
KOLĘDNICZA; Grębałów
KOLISTA; Dębniki
KOLNA; Dębniki
KOLONIJNA; Prokocim-Bieżanów
KOLOROWE; Nowa Huta
STEFANA KOŁACZKOWSKIEGO; Dębniki
KOŁACZY; Prądnik Biały
HUGONA KOŁŁĄTAJA; Grzegórzki
KOŁO BIAŁUCHY; Prądnik Biały
KOŁOBRZESKA; Łagiewniki
KOŁODZIEJSKA; Łagiewniki
KOŁO STRZELNICY; Zwierzyniec
KOŁOWA; Bronowice
KOMANDOSÓW; Dębniki
KOMASY; Grębałów
KOMBATANTÓW; Mistrzejowice
BOLESŁAWA KOMOROWSKIEGO; Zwierzyniec
KOMUNY PARYSKIEJ; Dębniki
KONAROWA; Zwierzyniec
STANISŁAWA KONARSKIEGO; Łobzów
FELIKSA KONECZNEGO; Prądnik Biały
KONFEDERACKA; Dębniki
KONOPNA; Prądnik Biały
MARII KONOPNICKIEJ Nr.1-d.k,2-80; Dębniki
MARII KONOPNICKIEJ Nr.82-d.k.; Podgórze
KONRADA WALLENRODA; Prokocim-Bieżanów
BOLESŁAWA KONTRYMA; Nowa Huta
KONWALIOWA; Podgórze
KONWISARZY; Łobzów
KOPALINA; Zwierzyniec
KOPANIEC; Nowa Huta
IZYDORA KOPERNICKIEGO; Swoszowice
MIKOŁAJA KOPERNIKA Nr2-16,7i9 brak nr 1,3,5,13,18,20; Stare Miasto
MIKOŁAJA KOPERNIKA Nr.22-d.k, 15-d.k.; Grzegórzki
FELIKSA KOPERY; Zwierzyniec
KOPROWA; Prokocim-Bieżanów
KORALOWA; Prądnik Biały
LUDMIŁY KORBUTOWEJ; Zwierzyniec
JANUSZA KORCZAKA; Prądnik Biały
LUDOMIŁA KORCZYŃSKIEGO; Swoszowice
AUGUSTYNA KORDECKIEGO; Stare Miasto
KORDIANA; Wola Duchacka
KAZIMIERZA KORDYLEWSKIEGO; Grzegórzki
JANA KOREPTY; Prokocim-Bieżanów
WOJCIECHA KORFANTEGO; Mistrzejowice
KORMORANÓW; Podgórze
JERZEGO KOROHODY; Grębałów
KORONY POLSKIEJ; Mistrzejowice
MICHAŁA KORPALA Nr 2-20, brak zwartej zabudowy; Dębniki
MICHAŁA KORPALA Nr 22 - d.k.; Swoszowice
GRZEGORZA KORZENIAKA; Zwierzyniec
JÓZEFA KORZENIOWSKIEGO; Zwierzyniec
KOSIARZY; Podgórze
KOSMONAUTÓW; Prądnik Biały
IRENY KOSMOWSKIEJ; Zwierzyniec
KOSOCICKA; Prokocim-Bieżanów
KOSOCICKA; Swoszowice
KOSÓW; Grębałów
KAZIMIERZA KOSTANECKIEGO; Prokocim-Bieżanów
KOSTRZECKA; Dębniki
JÓZEFA KOSTRZEWSKIEGO; Swoszowice
KOSYNIERÓW; Grzegórzki
KOSZALIŃSKA; Łagiewniki
KOSZARÓWKA; Dębniki
KOSZUTKI; Swoszowice
KOSZYKARSKA; Podgórze
KOŚCIELNA; Łobzów
KOŚCIELNICKA; Nowa Huta
TADEUSZA KOŚCIUSZKI; Zwierzyniec
KOŚCIUSZKOWCÓW; Łagiewniki
KOŚCIUSZKOWSKIE; Bieńczyce
JANA I JÓZEFA KOTLARCZYKÓW; Zwierzyniec
KOTLARSKA; Grzegórzki
FLORIANA KOTOWSKIEGO; Swoszowice
KOTÓWKA; Podgórze
ALEKSANDRA KOTSISA; Wola Duchacka
KOWALSKA; Łagiewniki
FRANCISZKA KOWALSKIEGO; Bronowice
MARII KOWNACKIEJ; Grębałów
KOZIA; Podgórze
KOZIARÓWKA; Zwierzyniec
KOZIENICKA; Dębniki
JANA KOZIETULSKIEGO; Prokocim-Bieżanów
KOŹLARSKA; Podgórze
KAJETANA KOŹMIANA; Swoszowice
OJCA EUGENIUSZA KRAJEWSKIEGO; Prądnik Biały
KRAJOBRAZOWA; Dębniki
KRAKA; Podgórze
KRAKOWIAKÓW; Nowa Huta
KRAKOWSKA; Stare Miasto
KRAKUSA; Podgórze
KRAKUSÓW; Bronowice
KRAŃCOWA; Zwierzyniec
IGNACEGO KRASICKIEGO; Podgórze
ZYGMUNTA KRASIŃSKIEGO Nr nieparzyste; Stare Miasto
ZYGMUNTA KRASIŃSKIEGO Nr parzyste; Zwierzyniec
JÓZEFA KRASNOWOLSKIEGO; Grębałów
KRASOWA; Dębniki
JÓZEFA IGNACEGO KRASZEWSKIEGO; Zwierzyniec
KRAWIECKA; Wola Duchacka
KREMEROWSKA; Stare Miasto
JANA KREMSKIEGO; Czyżyny
KRESOWA; Dębniki
ALEKSANDRA KRĘPY; Łagiewniki
KRĘTA; Prądnik Biały
KROCHMALNIKI; Łagiewniki
KROKUSOWA; Dębniki
KRONIKARZA GALLA; Łobzów
KROŚNIEŃSKA; Swoszowice
KROWODERSKA; Stare Miasto
KROWODERSKICH ZUCHÓW; Prądnik Biały
KROWODRZA GÓRKA; Prądnik Biały
WACŁAWA KRÓLA; Bieńczyce
KRÓLEWSKA; Łobzów
KRÓLOWEJ BONY; Bieńczyce
KRÓLOWEJ JADWIGI; Zwierzyniec
KRÓLOWEJ MARYSIEŃKI; Mistrzejowice
KRÓLÓWKA; Dębniki
KRÓTKA; Stare Miasto
KRUCZA; Zwierzyniec
KONSTANTEGO KRUMŁOWSKIEGO; Dębniki
KRUPNICZA; Stare Miasto
KRUSZWICKA; Mistrzejowice
WŁADYSŁAWA KRYGOWSKIEGO; Swoszowice
KRYMSKA; Dębniki
KRYNICZNA; Grzegórzki
KRYSTYNA Z OSTROWA; Wola Duchacka
KRYSZTAŁOWA; Łagiewniki
KRZEMIENIECKA; Swoszowice
KRZEMIONKI; Podgórze
KRZESŁAWICKA; Prądnik Czerwony
KRZEWOWA; Dębniki
EDMUNDA KRZYMUSKIEGO; Prokocim-Bieżanów
KRZYWA; Stare Miasto
KRZYWDA; Podgórze
LUDWIKA KRZYWICKIEGO; Zwierzyniec
ANIELI KRZYWOŃ; Prądnik Czerwony
KRZYWY ZAUŁEK; Bronowice
ADAMA KRZYŻANOWSKIEGO; Swoszowice
MIROSŁAWA KRZYŻAŃSKIEGO; Swoszowice
KRZYŻÓWKA; Zwierzyniec
KRZYŻTOPORSKA; Swoszowice
KSIĘCIA JÓZEFA; Zwierzyniec
FELIKSA KSIĘŻARSKIEGO; Dębniki
KSIĘŻYCOWA; Swoszowice
MARKA KUBLIŃSKIEGO; Nowa Huta
KSIĘDZA MIKOŁAJA KUCZKOWSKIEGO; Mistrzejowice
DOKTORA TADEUSZA KUDLIŃSKIEGO; Zwierzyniec
KUJAWSKA; Łobzów
GENERAŁA MARIANA KUKIELA; Prądnik Biały
KUKIEŁEK GOLKOWICKICH; Swoszowice
PŁK. RYSZARDA KUKLIŃSKIEGO; Podgórze
KUKUŁCZA; Zwierzyniec
ZOFII KULINOWSKIEJ; Grębałów
HENRYKA KUŁAKOWSKIEGO; Łagiewniki
STANISŁAWA KUNICKIEGO; Bronowice
KUPA; Stare Miasto
KUPAŁY; Mistrzejowice
KU RACIBOROWICOM; Grębałów
FERDYNANDA KURASIA; Łagiewniki
JANA KURCZABA; Prokocim-Bieżanów
KURKOWA; Grzegórzki
KURNIKI; Stare Miasto
DOBIESŁAWA KUROZWĘCKIEGO; Bronowice
KAROLA KURPIŃSKIEGO; Prokocim-Bieżanów
JERZEGO KURYŁOWICZA; Swoszowice
KSIĘDZA JÓZEFA KURZEI; Mistrzejowice
KSIĘDZA JANA KUSIA; Prokocim-Bieżanów
JANUSZA KUSOCIŃSKIEGO; Swoszowice
JÓZEFA KUSTRONIA; Swoszowice
KUŚNIERSKA; Grębałów
GENERAŁA TADEUSZA KUTRZEBY; Podgórze
KUŹNICY KOŁŁĄTAJOWSKIEJ; Prądnik Biały
KUŹNICZA; Bronowice
KWARTOWA; Prądnik Czerwony
KWATERY; Prokocim-Bieżanów
EUGENIUSZA KWIATKOWSKIEGO; Bronowice
KWIATOWA; Swoszowice
KWIATÓW POLSKICH; Czyżyny
KWIECISTA; Dębniki
KWIETNA; Łagiewniki
LAJKONIKA; Zwierzyniec
LANCKOROŃSKA; Podgórze
LWA LANDAUA; Swoszowice
JERZEGO LANDE; Swoszowice
MARIANA LANGIEWICZA; Stare Miasto
LASEK; Łagiewniki
LASEK ŁĘGOWSKI; Czyżyny
LASEK MOGILSKI; Nowa Huta
LASKOWA; Prokocim-Bieżanów
LASOGÓRSKA; Swoszowice
LASOWISKO; Grębałów
LASÓWKA; Podgórze
LAS WOLSKI; Zwierzyniec
KONSTANTEGO LASZCZKI; Wola Duchacka
LAUDAŃSKA; Dębniki
LAWENDOWA; Bieńczyce
LAZUROWA; Prądnik Biały
JULIUSZA LEA; Bronowice
LECHA; Wola Duchacka
LECHICKA; Łagiewniki
JANA LECHONIA; Prądnik Biały
LECZNICZA; Swoszowice
LEGENDY; Bronowice
LEGIONÓW; Prokocim-Bieżanów
LEGNICKA; Prądnik Biały
TADEUSZA LEHRA-SPŁAWIŃSKIEGO; Grębałów
FRANCISZKA LEI; Swoszowice
LEKARSKA; Prądnik Biały
STANISŁAWA LEMA; Grzegórzki
STANISŁAWA LEMA; Prądnik Czerwony
STANISŁAWA LEMA; Czyżyny
LENARTOWICZA Nr.17-23, 16-20; Łobzów
LENARTOWICZA Nr.2-14, 1-13 brak nr.15; Stare Miasto
STANISŁAWA LENTZA; Prądnik Biały
LESISKO; Nowa Huta
LESISTA; Grzegórzki
LESZCZYNOWA; Zwierzyniec
LESZKA BIAŁEGO; Grębałów
LESZKA CZARNEGO; Grębałów
BOLESŁAWA LEŚMIANA; Zwierzyniec
LEŚNA; Zwierzyniec
LETNIA; Prokocim-Bieżanów
PPOR.PIL. JANINY LEWANDOWSKIEJ; Czyżyny
LEWKOWA; Stare Miasto
ANNY LIBERA; Prokocim-Bieżanów
LIBERTOWSKA; Swoszowice
LIBROWSZCZYZNA; Stare Miasto
LILIOWA; Prądnik Czerwony
LILLI WENEDY; Prokocim-Bieżanów
BOLESŁAWA LIMANOWSKIEGO; Podgórze
SAMUELA BOGUMIŁA LINDEGO; Bronowice
WACŁAWA LIPIŃSKIEGO; Dębniki
LIPOWA; Podgórze
WOJCIECHA LIPOWSKIEGO; Prokocim-Bieżanów
LIPSKA; Podgórze
LIRNIKÓW; Wola Duchacka
LIRYCZNA; Prądnik Czerwony
LEOPOLDA LISA-KULI; Wola Duchacka
LISIA; Zwierzyniec
LIŚCIASTA; Dębniki
LITAWORA; Prądnik Biały
LITEWSKA; Łobzów
LNIANA; Prądnik Biały
LORETAŃSKA; Stare Miasto
LOTNICZA; Grzegórzki
LUBELSKA; Łobzów
LUBICZ Nr.16-d.k, 21-d.k.; Grzegórzki
LUBICZ Nr.4-14, 1-17, brak nr.19; Stare Miasto
LUBLAŃSKA; Prądnik Czerwony
LUBOCKA; Grębałów
ALEKSANDRA LUBOMIRSKIEGO Nr.1-13 brak nr.15,17; Stare Miasto
ALEKSANDRA LUBOMIRSKIEGO Nr.2-d.k, 19-d.k.; Grzegórzki
LUBORZYCKA; Grębałów
LUBOSTROŃ; Dębniki
LUBUSKA; Wola Duchacka
LUDOWA; Podgórze
LUDWIKA WĘGIERSKIEGO; Zwierzyniec
LUDWINOWSKA; Dębniki
LUDWISARZY; Łagiewniki
LUDŹMIERSKA; Nowa Huta
LUSIŃSKA; Swoszowice
LUTEGO TURA; Dębniki
KSIĘDZA MARIANA LUZARA; Nowa Huta
LWOWSKA; Podgórze
ŁABĘDZIA; Wola Duchacka
ŁADNA; Prądnik Czerwony
ŁAGIEWNICKA; Podgórze
ŁAMANA; Wola Duchacka
ŁANOWA; Podgórze
ŁANY; Dębniki
ŁAPANOWSKA; Wola Duchacka
JANA ŁAZARSKIEGO; Zwierzyniec
ŁAZOWA; Grębałów
ŁAZY; Prokocim-Bieżanów
ŁĄCKA; Grębałów
ŁĄKOWA; Prądnik Czerwony
STANISŁAWA ŁEMPICKIEGO; Grębałów
JÓZEFA ŁEPKOWSKIEGO; Prądnik Czerwony
ŁĘCZYCKA; Mistrzejowice
ŁĘGOWA; Czyżyny
ŁĘŻCE; Wola Duchacka
JÓZEFA ŁOBODOWSKIEGO; Swoszowice
ŁOBZOWSKA Nr.1-61, 2-40; Stare Miasto
ŁOBZOWSKA Nr.67,46-52, brak nr.42,44,63,65; Łobzów
PROFESORA STANISłAWA łOJASIEWICZA; Dębniki
ELŻBIETY ŁOKIETKÓWNY; Bieńczyce
JACKA AUGUSTYNA ŁOPACKIEGO; Bieńczyce
ŁOSIÓWKA; Dębniki
ŁOWIECKA; Zwierzyniec
ŁOWIENICKA; Wola Duchacka
KAROLA ŁOWIŃSKIEGO; Nowa Huta
WŁADYSŁAWA ŁOZIŃSKIEGO; Grębałów
ŁÓDZKA; Swoszowice
ŁUBINOWA; Nowa Huta
ŁUCZANOWICKA; Grębałów
ŁUCZNIKÓW; Wola Duchacka
DOKTORA ZYGMUNTA ŁUCZYŃSKIEGO; Łagiewniki
IGNACEGO ŁUKASIEWICZA; Grzegórzki
WALERIANA ŁUKASIŃSKIEGO; Łagiewniki
ŁUKOWIEC; Dębniki
MAJORA ŁUPASZKI; Bronowice
WŁADYSŁAWA ŁUSZCZKIEWICZA; Prądnik Czerwony
ŁUTNIA; Podgórze
ŁUŻYCKA; Wola Duchacka
ŁYSOGÓRSKA; Swoszowice
BOGDANA ŁYSZKIEWICZA; Bieńczyce
MACEDOŃSKA; Wola Duchacka
KSIĘDZA FERDYNANDA MACHAYA; Bronowice
MACIEJKOWA; Prądnik Biały
MACIERZANKI; Dębniki
JÓZEFA MACKIEWICZA; Prądnik Biały
GENERAŁA STANISŁAWA MACZKA; Bieńczyce
MAĆKA Z BOGDAŃCA; Dębniki
MAĆKOWA GÓRA; Zwierzyniec
ANTONIEGO JÓZEFA MADALIŃSKIEGO; Dębniki
MADEJÓWKA; Prokocim-Bieżanów
MADERA; Wola Duchacka
MAGAZYNOWA; Prokocim-Bieżanów
MAGNOLII; Dębniki
KSIĘDZA FRANCISZKA MAJA; Swoszowice
JAKUBA MAJORA; Prądnik Czerwony
MAJOWA; Prądnik Czerwony
JADWIGI MAJÓWNY; Zwierzyniec
JANA MAKLAKIEWICZA; Swoszowice
MAKOWA; Wola Duchacka
TADEUSZA MAKOWSKIEGO; Prądnik Biały
KORNELA MAKUSZYŃSKIEGO; Bieńczyce
KORNELA MAKUSZYŃSKIEGO; Grębałów
MALACHITOWA; Prokocim-Bieżanów
ARTURA MALAWSKIEGO; Prądnik Czerwony
MALBORSKA; Podgórze
MALBORSKA; Wola Duchacka
JACKA MALCZEWSKIEGO; Zwierzyniec
MALINOWA; Prądnik Biały
BRONISŁAWA MALINOWSKIEGO; Swoszowice
MALOWNICZA; Zwierzyniec
MALUTKA; Łagiewniki
MALWOWA; Łagiewniki
MAŁA; Stare Miasto
MAŁA GÓRA; Prokocim-Bieżanów
MIECZYSŁAWA MAŁECKIEGO; Zwierzyniec
MAŁEGO KSIĘCIA; Bieńczyce
ZBIGNIEWA MAŁKA; Prokocim-Bieżanów
ANDRZEJA MAŁKOWSKIEGO; Prokocim-Bieżanów
MAŁY PŁASZÓW; Podgórze
MAŁY RYNEK; Stare Miasto
MARCHOŁTA; Prądnik Czerwony
JÓZEFA MARCIKA; Łagiewniki
MARCOWA; Wola Duchacka
ADAMA MARCZYŃSKIEGO; Prądnik Biały
MARGARETEK; Prądnik Biały
MARGLOWA; Grębałów
MARIANA MARKOWSKIEGO; Czyżyny
MARTENOWSKA; Nowa Huta
HELENY MARUSARZÓWNY; Swoszowice
SZYMONA MARYCJUSZA; Mistrzejowice
FRANCISZKA MARYEWSKIEGO; Podgórze
MARYNARSKA; Zwierzyniec
MARZANNY; Prokocim-Bieżanów
MASARSKA; Grzegórzki
ANTONIEGO MATECZNEGO; Podgórze
KSIĘDZA STEFANA MAZANKA; Mistrzejowice
MAZOWIECKA; Łobzów
MAZURSKA; Podgórze
MĄCZNA; Prądnik Biały
KSIĘDZA WŁADYSŁAWA MĄCZYŃSKIEGO; Swoszowice
MEDALIONÓW; Dębniki
MIECZYSŁAWA MEDWECKIEGO; Czyżyny
MEDYCZNA; Prokocim-Bieżanów
JÓZEFA MEHOFFERA; Prądnik Biały
KSIĘDZA JÓZEFA MEIERA; Prądnik Biały
MEISELSA; Stare Miasto
JANUSZA MEISSNERA; Prądnik Czerwony
MERKURIUSZA POLSKIEGO; Swoszowice
