28 LIPCA 1943; Zwierzyniec
KSIĘDZA FRANCISZKA BLACHNICKIEGO; Grzegórzki
BLICH; Grzegórzki
BLISKA; Prądnik Biały
BLOKOWA; Grębałów
BLOKOWA; Nowa Huta
BLUSZCZOWA; Swoszowice
BŁAWATKOWA; Wola Duchacka
BŁĘKITNA; Prądnik Czerwony
BŁOTNA; Wola Duchacka
BŁOTNISKA; Dębniki
BOBROWA; Dębniki
STEFANA BOBROWSKIEGO; Grzegórzki
MARII BOBRZECKIEJ; Prądnik Biały
PROFESORA MICHAŁA BOBRZYŃSKIEGO; Dębniki
ADAMA BOCHENKA; Wola Duchacka
BOCHEŃSKA; Stare Miasto
OJCA JÓZEFA BOCHEŃSKIEGO; Dębniki
PROFESORA ADAMA BOCHNAKA; Swoszowice
BOCIANA; Prądnik Biały
BOCZNA; Dębniki
BOCZNICA; Prokocim-Bieżanów
BODZISZKOWA; Zwierzyniec
BODZOWSKA; Dębniki
KAROLA BOGDANOWICZA; Łagiewniki
WINCENTEGO BOGDANOWSKIEGO; Swoszowice
BOGUCIANKA; Dębniki
BOGUCICKA; Prokocim-Bieżanów
WOJCIECHA BOGUSŁAWSKIEGO; Stare Miasto
JÓZEFA BOGUSZA; Bieńczyce
BOGUSZÓWKA; Czyżyny
BOHATERÓW WIETNAMU; Prądnik Czerwony
BOHATERÓW WRZEŚNIA; Mistrzejowice
FRANCISZKA BOHOMOLCA; Prądnik Czerwony
BOJANÓWKA; Dębniki
JAKUBA BOJKI; Wola Duchacka
BOLESŁAWA CHROBREGO; Grzegórzki
BOLESŁAWA KRZYWOUSTEGO; Grębałów
BOLESŁAWA ŚMIAŁEGO; Dębniki
BOLESŁAWA WSTYDLIWEGO; Grębałów
BONARKA; Podgórze
BONEROWSKA; Stare Miasto
BONIFRATERSKA; Stare Miasto
GENERAŁA TADEUSZA BORA-KOMOROWSKIEGO Nr.1-35; Prądnik Czerwony
GENERAŁA TADEUSZA BORA-KOMOROWSKIEGO Nr.37-d.k.; Czyżyny
GENERAŁA TADEUSZA BORA-KOMOROWSKIEGO; Grzegórzki
CZESŁAWA BORATYŃSKIEGO; Swoszowice
MARCINA BORELOWSKIEGO-LELEWELA; Zwierzyniec
BORKOWSKA; Swoszowice
BORKOWSKIE BłONIA; Łagiewniki
PIOTRA BOROWEGO; Zwierzyniec
IWONY BOROWICKIEJ; Grzegórzki
BOROWINOWA; Swoszowice
BORÓWCZANA; Zwierzyniec
BORSUCZA; Łagiewniki
GENERAŁA MIECZYSŁAWA BORUTY-SPIECHOWICZA Brak zabudowy; Nowa Huta
BOSACKA; Stare Miasto
BOSAKÓW; Prądnik Czerwony
BOTANICZNA; Grzegórzki
CHRISTO BOTEWA; Podgórze
TADEUSZA BOYA-ŻELEŃSKIEGO; Bronowice
OLGI BOZNAŃSKIEJ; Prądnik Czerwony
BOŻEGO CIAŁA; Stare Miasto
BOŻEGO MIŁOSIERDZIA; Stare Miasto
BOŻYWOJA; Grębałów
BÓR; Dębniki
BRACI JAMKÓW; Prokocim-Bieżanów
BRACI KIEMLICZÓW; Dębniki
BRACI POLSKICH; Grębałów
BRACI SCHINDLERÓW; Czyżyny
BRACI SCHINDLERÓW; Grzegórzki
BRACKA; Stare Miasto
KONSTANTEGO BRANDLA; Podgórze
BRANICKA; Nowa Huta
BRATERSKA; Podgórze
BRATERSTWA BRONI; Dębniki
BRATKOWA; Grzegórzki
BRATYSŁAWSKA; Prądnik Biały
BRĄZOWNICZA; Łobzów
JÓZEFA BRODOWICZA; Grzegórzki
KAZIMIERZA BRODZIŃSKIEGO; Podgórze
BROGI; Prądnik Czerwony
WŁADYSŁAWA BRONIEWSKIEGO; Bieńczyce
BRONOWICE NOWE; Bronowice
BRONOWICKA; Bronowice
BROWARNIANA; Dębniki
JANA BROŻKA; Łagiewniki
JANA BROŻKA; Podgórze
ALEKSANDRA BR¨ uCKNERA; Dębniki
BRUŚNICKA; Grębałów
BRUZDOWA; Zwierzyniec
BRZASK; Dębniki
JANA BRZECHWY; Prądnik Czerwony
BRZEGOWA; Bronowice
BRZESKA; Nowa Huta
PIOTRA BRZEZIŃSKIEGO; Bronowice
BRZOZOWA; Stare Miasto
STANISŁAWA BRZOZOWSKIEGO; Bronowice
WITOLDA BUDRYKA; Łobzów
BUDRYSÓW; Prądnik Biały
BUDZISZYŃSKA; Mistrzejowice
BUGAJ; Podgórze
FRANCISZKA BUJAKA; Wola Duchacka
ODONA BUJWIDA; Grzegórzki
BUKIETOWA; Prądnik Biały
BUKOWA; Podgórze
BUKSZPANOWA; Grębałów
BULARNIA; Prądnik Biały
BULWAROWA; Nowa Huta
BUŁGARSKA; Dębniki
JANA BUŁHAKA; Dębniki
KAROLA BUNSCHA; Dębniki
BURACZANA; Wola Duchacka
BURGUNDZKA; Dębniki
BURSZTYNOWA; Prądnik Biały
BURZOWA; Grębałów
JANA BUSZKA; Łobzów
BUTRYMÓW; Dębniki
BYDGOSKA; Łobzów
BYSTRA; Wola Duchacka
JANA STANISŁAWA BYSTRONIA; Grębałów
BYTOMSKA; Łobzów
EDWARDA BZYMKA-STRZAŁKOWSKIEGO; Bronowice
CECHOWA; Wola Duchacka
CEDROWA; Zwierzyniec
CEDYŃSKA; Mistrzejowice
CEGIELNIANA; Łagiewniki
CEGLARSKA; Dębniki
ROZALII CELAKÓWNY; Bieńczyce
CELAROWSKA; Prądnik Czerwony
CELNA; Podgórze
CEMENTOWA; Nowa Huta
CENTKIEWICZÓW; Dębniki
CENTRALNA; Czyżyny
CENTRUM A; Nowa Huta
CENTRUM B; Nowa Huta
CENTRUM C; Nowa Huta
CENTRUM D; Nowa Huta
CENTRUM E; Nowa Huta
BENEDYKTA CESARZA; Łagiewniki
CHABROWA; Prądnik Biały
TYTUSA CHAŁUBIŃSKIEGO; Swoszowice
CHAŁUPKI; Nowa Huta
KAZIMIERZA CHAŁUPNIKA; Prądnik Czerwony
